class,image_path,width,height,format
Anthracnose,rgb\Anthracnose\lem_00000.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00001.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00002.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00003.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00004.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00005.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00006.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00007.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00008.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00009.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00010.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00011.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00012.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00013.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00014.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00015.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00016.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00017.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00018.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00019.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00020.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00021.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00022.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00023.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00024.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00025.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00026.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00027.jpg,512,512,JPEG
